,dialog_act,utterance
2354,inform,"moderately priced french food
"
2355,confirm,"is it in the centre of town
"
2356,request,"uh can i have the phone number
"
2357,negate,"no asian
"
2358,null,"oh
"
2359,affirm,"yes can i have an expensive restaurant
"
2360,inform,"its in the south
"
2361,inform,"expensive restaurant in the south part of town
"
2362,reqalts,"how about international type of food
"
2363,inform,"what about international type food
"
2364,request,"okay and ah wheres it located
"
2365,inform,"i would like to find a moderately priced restaurant and it should be in the east
"
2366,inform,"afghan
"
2367,inform,"doesnt matter west part of town
"
2368,request,"and their phone number
"
2369,inform,"uh is there a steak house
"
2370,hello,"hi im looking for cuban food
"
2371,inform,"um english
"
2372,reqalts,"how about moderately priced
"
2373,inform,"a spanish restaurant in the center
"
2374,inform,"im looking for an expensive restaurant that serves greek food
"
2375,inform,"in cheap restaurant
"
2376,inform,"um do not care
"
2377,inform,"noise west
"
2378,inform,"noise any price range
"
2379,inform,"i would like chinese food
"
2380,inform,"im looking for a moderately priced restaurant that serves japanese food
"
2381,request,"and what area of town are they
"
2382,request,"ah where is it
"
2383,inform,"i am looking for a moderately priced restaurant
"
2384,inform,"im looking for venison food cross talk
"
2385,confirm,"is there a chinese restaurant
"
2386,inform,"i would like australian asian food
"
2387,inform,"i dont care but i want it to be in the east part of town
"
2388,inform,"okay uh how bout british food
"
2389,reqalts,"okay what about modern european food
"
2390,inform,"im looking for a moderately priced restaurant that serves scottish food
"
2391,inform,"ah it doesnt matter
"
2392,inform,"any kind
"
2393,request,"where
"
2394,request,"address and the post code
"
2395,null,"looking for a place that serves whole worl
"
2396,inform,"i want an expensive restaurant
"
2397,request,"how much is the food
"
2398,request,"okay what is the address
"
2399,inform,"i want a restaurant in the center that serves seafood
"
2400,inform,"are there any turkish restaurants at all
"
2401,inform,"im looking for a restaurant serving pan asian foo
"
2402,reqalts,"is there a restaurant in the north part of town that serves indian food
"
2403,inform,"austrian food in the west part of town
"
2404,inform,"a cheap restaurant east part of town
"
2405,request,"can i have the address please
"
2406,request,"post the phone number
"
2407,inform,"id like a restaurant in the south part of town that serves cuban
"
2408,null,"appleton wisconsin
"
2409,inform,"i do not care about the price range im just looking for a restaurant in the center that serves korean food
"
2410,inform,"i need a moderately priced restaurant serving world food
"
2411,request,"okay and their address
"
2412,inform,"im looking for a moderate priced restaurant in south part of
"
2413,request,"ah a phone number
"
2414,inform,"im looking for a restaurant serving polish food
"
2415,inform,"restaurant in the west part of town serving moroccan food
"
2416,inform,"id like to find a restaurant that serves afghan food
"
2417,affirm,"yes danish food
"
2418,inform,"uh doesnt matter
"
2419,inform,"gastro
"
2420,negate,"no caribbean
"
2421,inform,"if there is no such venue how about european type of food
"
2422,reqalts,"how about american food
"
2423,request,"and can i have the address phone number and price range of the restaurant please
"
2424,thankyou,"can i okay thank you
"
2425,inform,"and at the gastropub
"
2426,inform,"modern european
"
2427,inform,"asian food in the north part of town
"
2428,reqalts,"is there any other restaurant that serves turkish food
"
2429,inform,"im looking for a christmas food in the south part of town
"
2430,inform,"im looking for a expensive restaurant serving mediterranean food
"
2431,inform,"i would like gastropub
"
2432,affirm,"yes
"
2433,request,"breath what is the phone number and post code
"
2434,inform,"moderately priced west of town
"
2435,request,"can i have their address please
"
2436,inform,"um any time of european type food
"
2437,inform,"an expensive restaurant serving cantonese food
"
2438,inform,"um cheap
"
2439,reqalts,"is there another alternative
"
2440,inform,"restaraunt serving fusion food
"
2441,inform,"uh that serves catalan food
"
2442,inform,"in the south part of town
"
2443,inform,"uh restaurant
"
2444,request,"address and
"
2445,inform,"west of town
"
2446,inform,"looking for a basque restaurant
"
2447,request,"what kind of food do they have
"
2448,inform,"restaurant in the east side of town
"
2449,inform,"persian food
"
2450,request,"okay and the phone number
"
2451,inform,"moderate priced restaurant that serves indian food
"
2452,inform,"i need a restaurant in the west part of town
"
2453,request,"whats the telephone number
"
2454,inform,"uh creative food
"
2455,request,"id like the address and phone number please
"
2456,inform,"im looking for a restaurant that serves indian food
"
2457,request,"can i have the address phone number
"
2458,inform,"i am looking for catalin food
"
2459,inform,"id like a restaurant in
"
2460,inform,"i would like an expensive restaurant in the south part of town
"
2461,inform,"serves halal food
"
2462,inform,"i want a restaurant in the unintelligible that serves belgium food
"
2463,inform,"and expensive restaurant that serves tuscan food
"
2464,reqalts,"what about the north part of town
"
2465,inform,"east part of town
"
2466,request,"okay and the phone number please
"
2467,inform,"im looking for a restaurant in the east part of town that serves canapes
"
2468,request,"the phone number and post code
"
2469,inform,"need a cheap restaurant
"
2470,request,"whats the address phone number
"
2471,inform,"basque
"
2472,null,"i want to find
"
2473,inform,"greek food east part of town
"
2474,inform,"expensive romanian
"
2475,reqalts,"how about english food in the north part of town
"
2476,inform,"and the north
"
2477,inform,"um doesnt mater
"
2478,inform,"im looking for an expensive restaurant that serves
"
2479,null,"okay ill be there one sec
"
2480,hello,"hi im looking for a restaurant in the
"
2481,reqalts,"whats another one
"
2482,inform,"im looking for a moderately priced restaurant that serves turkish food
"
2483,inform,"breath do you have danish restaurants
"
2484,request,"great could you tell me the address and phone number to that place
"
2485,inform,"irish food noise
"
2486,inform,"moderate price range
"
2487,inform,"asian restaurant
"
2488,inform,"uh moderately price
"
2489,inform,"the south part of town
"
2490,inform,"im looking for a moderately priced restaurant that serves christmas food
"
2491,request,"what prices
"
2492,inform,"lets see im looking for a restaurant in the north part of town that serves vietnamese food
"
2493,inform,"is there a restaurant in the center of town serving
"
2494,request,"can i have their phone number please
"
2495,inform,"im looking for belgian food
"
2496,inform,"could i have a restaurant that serves european food
"
2497,inform,"i got to find a cheap restaurant that serves mexican food
"
2498,inform,"i am searching for a moderately priced restaurant in the east part of
"
2499,request,"what is their address and price range
"
2500,reqalts,"how about north american type of food
"
2501,inform,"asian oriental type of food
"
2502,inform,"im looking for a restaurant that serves turkish food
"
2503,inform,"im looking for an expensive restaurant serving malaysian food
"
2504,inform,"i would like to find a cheap restaurant and it should be in the south
"
2505,reqalts,"what about vietnamese food
"
2506,request,"do you have the address
"
2507,request,"uh does it serve
"
2508,inform,"ah what have you got for thai food
"
2509,inform,"im looking for a moderately priced restaurant in the east part
"
2510,negate,"no lebanese food
"
2511,inform,"how bout an indian
"
2512,inform,"is there one that serves creative food
"
2513,inform,"im looking for a restaurant in any area that serves japanese
"
2514,inform,"i dont care can i try again
"
2515,inform,"um north american food
"
2516,inform,"oh i need to be in the north
"
2517,affirm,"yes creative food
"
2518,reqalts,"how about a restaurant in the east part of town that serves indian food
"
2519,inform,"find me italian food
"
2520,inform,"international food in the east part of town
"
2521,inform,"breath malaysian food
"
2522,inform,"im looking for a cheap restaurant in the east part of town that serves gastropub food
"
2523,reqalts,"is there anything else besides golden wok
"
2524,bye,"alright thank you good bye
"
2525,inform,"im looking for an expensive restaurant that serves venetian food
"
2526,inform,"french food any french food
"
2527,request,"what is the address phone number and type of food
"
2528,request,"address post code
"
2529,inform,"i would like a restaurant in the west part of town that serves cuban food
"
2530,affirm,"yes i am currently in the north part of town and im looking to see if theres any restaurant that serves brazilian food
"
2531,inform,"in the north part of town
"
2532,inform,"i want to find a moderately priced restaurant that serves fusion food
"
2533,inform,"i would like to find a restaurant in the west part of town that serves
"
2534,inform,"any moderately
"
2535,inform,"i would like an expensive restaurant in the south of town
"
2536,null,"for a
"
2537,request,"post number
"
2538,inform,"i want a restaurant in any area that serves
"
2539,request,"whats the address and post code
"
2540,inform,"gastropub moderate
"
2541,request,"what is the addre
"
2542,inform,"id like a moderately priced restaurant in the south part of town
"
2543,inform,"im looking for a restaurant that serves russian food
"
2544,request,"and what kind of food do they serve
"
2545,negate,"no id like cheap restaurant in the west part of town
"
2546,negate,"no austrian food
"
2547,request,"what kind of food is that
"
2548,inform,"lebanese damn it just listen to me
"
2549,inform,"i would like to find a restaurant in the west part of town
"
2550,deny,"dont want that
"
2551,reqalts,"how about portugeuse food
"
2552,request,"phone number tv_noise
"
2553,request,"can i have the phone number and post code
"
2554,inform,"i need a restaurant that serves canape
"
2555,inform,"ah im looking for a cheap restaurant
"
2556,inform,"noise ah gastropub food
"
2557,inform,"um any type
"
2558,inform,"im looking for a restaurant in the south part of town serve international food
"
2559,inform,"is there one serving european type food
"
2560,inform,"hold on im working hold on gastro pub
"
2561,inform,"cough im looking for expensive danish food
"
2562,inform,"im looking for a restaurant in any area that serves bistro food
"
2563,reqalts,"is there anything that serves caribbean food
"
2564,inform,"im looking for a restaurant that serves modern european food
"
2565,inform,"tuscan food
"
2566,reqalts,"how about a different restaurant
"
2567,inform,"dont care whats the phone number
"
2568,reqalts,"how about a moderately priced
"
2569,inform,"catalonia food
"
2570,reqalts,"what about spanish food
"
2571,inform,"im looking for a modertley priced restaurant in the south
"
2572,request,"breath okay uh thats great how bout the address
"
2573,inform,"i want to find a cheap restaurant and it should be in the north part of
"
2574,ack,"thatll do dear whats the address of that venue
"
2575,inform,"want something in the south side of town thats moderately priced
"
2576,request,"what is the phone number of that venue
"
2577,inform,"i would like moroccan food
"
2578,inform,"im looking for a moderately priced restaurant in the west part of town
"
2579,null,"sigh
"
2580,inform,"center of town
"
2581,deny,"not european fusion
"
2582,inform,"turkiesh food
"
2583,inform,"danish food
"
2584,affirm,"correct
"
2585,request,"can i have the address and the post code please
"
2586,inform,"ya im looking for a restaurant serving persian food
"
2587,inform,"im looking for a restaurant in the east part of town serving chinese food
"
2588,inform,"breath im looking for a moderately priced restaurant in the east p
"
2589,inform,"cheap italian
"
2590,request,"is it what price range
"
2591,inform,"i want a vietnamese restaurant
"
2592,reqalts,"next
"
2593,inform,"modern european type food
"
2594,affirm,"ah yes
"
2595,inform,"im looking for a italian restaurant in east part of town
"
2596,inform,"vegetarian
"
2597,affirm,"yes can i have
"
2598,inform,"food
"
2599,inform,"i need a restaurant in the east part of town serving indian food
"
2600,inform,"i want to find a moderately priced restaurant that serves vietnamese food
"
2601,inform,"uh a restaurant in the south part of town
"
2602,inform,"may i have an expensive restaurant
"
2603,inform,"okay expensive
"
2604,affirm,"yes spanish food
"
2605,inform,"im looking for cross over food
"
2606,inform,"im looking for a restaurant in the center of town serving german food
"
2607,reqalts,"how about italian food in the west of town
"
2608,request,"uh what is its address
"
2609,inform,"a chinese restaurant in the south part of town
"
2610,inform,"im looking for a restaurant that serves corsica food
"
2611,negate,"no canapes
"
2612,request,"and a phone number
"
2613,reqalts,"okay is there a restaurant that serves thai food
"
2614,affirm,"yes expensive
"
2615,inform,"tha thai
"
2616,inform,"i would like an expensive restaurant that serves korean food
"
2617,inform,"im looking for a moderate priced restaurant in the south part
"
2618,inform,"unintelligible restaurant
"
2619,inform,"im looking for a restaurant that serves singaporean food
"
2620,inform,"christmas food west of town
"
2621,reqalts,"how about a portuguese restaurant
"
2622,inform,"i want chinese food
"
2623,inform,"im looking for an expensive restaurant in a
"
2624,inform,"id like a cheap restaurant in the north part of town
"
2625,request,"could have the phone number
"
2626,request,"where is it located
"
2627,inform,"im looking for a unintelligible food
"
2628,inform,"im looking for a
"
2629,inform,"im looking for an expensive restaurant in the south part of town
"
2630,request,"what about the address
"
2631,request,"see the address
"
2632,inform,"sells english food
"
2633,reqalts,"how about chinese type of food
"
2634,null,"nt care
"
2635,request,"okay could you give me the address
"
2636,request,"what is their address and phone number
"
2637,inform,"cheap food
"
2638,inform,"i want singaporean food
"
2639,inform,"uh do you have any korean food
"
2640,reqalts,"how about gastropub type of food
"
2641,inform,"cheap restaurant serves spanish food
"
2642,inform,"cheap portugeuse
"
2643,null,"i would like a
"
2644,inform,"anything is fine
"
2645,request,"and what part of town is it in
"
2646,reqalts,"how about a restaurant that serves international food
"
2647,inform,"i would like a restaurant
"
2648,request,"may i get the phone number
"
2649,inform,"im looking for a restaurant in the west
"
2650,negate,"no any area
"
2651,inform,"i am looking for a moderately priced restaurant serving cantonese food
"
2652,inform,"crossover
"
2653,inform,"cheap restaurant that serves german food
"
2654,inform,"katalian food
"
2655,confirm,"er do they serve eritrean food
"
2656,inform,"im looking for a restaurant in the center part of town
"
2657,inform,"i am looking for a cheap restaurant in the west part of town
"
2658,reqalts,"how about international
"
2659,inform,"cheap portuguese food
"
2660,inform,"portuguese food
"
2661,null,"okay just regular ecuadorean food
"
2662,reqalts,"okay is there any portuguese food
"
2663,inform,"what about the other moderately priced restaurant in the south part
"
2664,inform,"im looking for meditteranian
"
2665,inform,"a indian restaurant
"
2666,negate,"no gastropub
"
2667,inform,"i want a polynesian restaurant in the north part of town
"
2668,inform,"polynesian
"
2669,request,"whats the address phone number and post code
"
2670,affirm,"uh yes im looking for a restaurant in the center that serves lebanese food
"
2671,request,"breath price range
"
2672,inform,"i want a restaurant in the center of town
"
2673,request,"okay i need the phone number and address
"
2674,inform,"ah any
"
2675,inform,"irish fdod
"
2676,inform,"im looking for a restaurant in the east part of town that serves international
"
2677,request,"okay what is the phone number and area of the venue
"
2678,request,"type of food
"
2679,inform,"restaurant south part of town christmas food
"
2680,inform,"i am looking for a moderately priced restaurant in the west part of town
"
2681,inform,"yes uh turkish food in my area
"
2682,inform,"im looking for
"
2683,reqalts,"how bout indian food
"
2684,request,"address noise
"
2685,inform,"id like a hungarian food restaurant in the centre part of town
"
2686,inform,"moderately restaurant
"
2687,inform,"looking for romanian food in the east part of town
"
2688,inform,"gastropub of food
"
2689,inform,"moderately pri
"
2690,inform,"im looking for a restaurant that serves unusual food
"
2691,inform,"im looking for a restaurant in the north part of town that serves
"
2692,null,"oh boy
"
2693,inform,"im looking for a cheap restaurant in west part of town
"
2694,inform,"how bout thai
"
2695,inform,"noise i dont care about the price range
"
2696,request,"the address and post code please
"
2697,thankyou,"thank you bye
"
2698,inform,"moderately priced international food
"
2699,inform,"belgium food
"
2700,request,"may i have the phone number and address please
"
2701,inform,"i need moderately priced restaurant that serves spanish
"
2702,request,"kay can i get the phone number
"
2703,deny,"not any more
"
2704,inform,"um i dont care
"
2705,request,"what type of food is
"
2706,inform,"im looking for a cheap restaurant and it should be in the south part of town
"
2707,reqalts,"what about in the west side of town
"
2708,inform,"i dont care about prices
"
2709,confirm,"does it serve canapes food
"
2710,affirm,"ye
"
2711,inform,"serving austrian food
"
2712,inform,"i want to find a moderately priced restaurant that serves canapes food
"
2713,inform,"turkish food
"
2714,request,"okay and can i get their address
"
2715,inform,"thai restaurant
"
2716,inform,"that serves japanese food
"
2717,inform,"any price range is fine
"
2718,null,"ring
"
2719,request,"and the postcode
"
2720,hello,"hi im looking for a moderately priced restaurant in the west part of town
"
2721,confirm,"is it european
"
2722,negate,"no i would like a cuban restaurant
"
2723,inform,"find me a portuguese restaurant
"
2724,reqalts,"how about portuguese
"
2725,request,"may i have their address and phone number
"
2726,inform,"im looking for a moderately priced restaurant serving world food
"
2727,reqalts,"what about korean
"
2728,inform,"any part of town please
"
2729,inform,"canapes
"
2730,inform,"im looking for a restaurant in the center that serves romanian food
"
2731,inform,"thats the north
"
2732,inform,"north american type of food
"
2733,inform,"im looking for an expensive restaurant and it should be east part of town
"
2734,inform,"shit served swiss food
"
2735,inform,"test food
"
2736,inform,"im looking for an expensive restaurant serving french food
"
2737,inform,"can you tell me about an expensive restaurant in the south
"
2738,inform,"cheap gastropub
"
2739,reqalts,"how about vietnamese
"
2740,request,"what type of food does the missing sock ser
"
2741,inform,"i want fusion food
"
2742,reqalts,"are there any restaurant serving corsica food
"
2743,request,"and would you be able to tell me the phone number
"
2744,inform,"polynesian food
"
2745,negate,"uh no im looking for italian food
"
2746,inform,"im looking for a restaurant serving lebanese food
"
2747,reqalts,"how about moroccan food
"
2748,inform,"change that to chinese food
"
2749,inform,"find me a turkish restaurant
"
2750,inform,"spanish food in any area
"
2751,request,"may i have the address phone number and price range
"
2752,inform,"find me a restaurant in the north part of town
"
2753,request,"what is its address
"
2754,inform,"looking for a cheap restaurant that serves spanish food
"
2755,inform,"i need to find a restaurant in the north part of town that serves jamaican food
"
2756,inform,"thai food in the west of town
"
2757,inform,"australasian food
"
2758,inform,"im looking for restaurants in the east part of town
"
2759,inform,"im looking for a restaurant in the south part of town that serves greek food
"
2760,affirm,"uh yes a cheap restaurant
"
2761,inform,"find restaurant serving asian oriental
"
2762,inform,"id like a restaurant in any area
"
2763,inform,"unintelligible i dont care
"
2764,request,"what unintelligible the price range
"
2765,affirm,"yes could i have
"
2766,inform,"im looking for english food in the west part of town
"
2767,affirm,"yea
"
2768,request,"could i have the phone number please
"
2769,inform,"thai type food
"
2770,null,"incorrect
"
2771,inform,"yea im looking for an expensive restaurant that serves portuguese
"
2772,null,"opean
"
2773,inform,"im looking for a restaurant in the center that serves sea food
"
2774,request,"what is the address and area
"
2775,inform,"im looking for an indian restaurant in the north part of town
"
2776,request,"cool whats the phone number
"
2777,request,"and the postal code
"
2778,inform,"india
"
2779,request,"can i have the phone number and address of the venue
"
2780,reqalts,"are there any restaurants serving indian food
"
2781,reqalts,"is there anything else in the medium price range
"
2782,inform,"for a cheap restaurant in the east part of town
"
2783,inform,"breath how bout north part of town
"
2784,inform,"im moderate priced restaurant in the north part of town
"
2785,inform,"cheap food in the east part of town
"
2786,inform,"im looking for an expensive restaurant that serves korean
"
2787,affirm,"perfect
"
2788,request,"okay may i have the address and phone number
"
2789,affirm,"yes fusion
"
2790,reqalts,"is there anyone else
"
2791,inform,"im looking for a restaurant in the east part of town that serves chinese food
"
2792,confirm,"do they serve chinese food
"
2793,inform,"id like a greek restaurant in the east part of town
"
2794,request,"what is the golden woks phone number
"
2795,request,"what is the are
"
2796,inform,"cheap list
"
2797,inform,"expensive russian food
"
2798,inform,"im looking for a expensive restaurant in the
"
2799,inform,"catalanian
"
2800,request,"expensive price restaurant
"
2801,affirm,"right east part of town
"
2802,reqalts,"sure how about asian food
"
2803,inform,"it doesnt matter dear
"
2804,inform,"i want mediterranean food
"
2805,hello,"hello im looking for a moderately priced restaurant in thr
"
2806,inform,"traditional food
"
2807,inform,"moderate priced in the north part of town
"
2808,inform,"scottish
"
2809,reqalts,"how about korean food
"
2810,inform,"im looking for a moderately priced restaurant and it should be in the west part of town
"
2811,request,"their address
"
2812,request,"im looking for a restaurant in the north part of town serving french type of food
"
2813,request,"what is the address of prezzo
"
2814,inform,"food in the south part of town
"
2815,negate,"no south
"
2816,inform,"im looking for a restaurant in the north part of town uh tuscan food
"
2817,reqalts,"uh okay how about french food
"
2818,negate,"no im looking for an expensive restaurant in the east part of town
"
2819,request,"whats the price range please
"
2820,null,"dont
"
2821,request,"phone number again
"
2822,null,"what
"
2823,inform,"restaurant any area japanese food
"
2824,request,"breath may i have the phone number and address please
"
2825,request,"can i get the number
"
2826,inform,"i want swiss food
"
2827,reqalts,"what about persian food
"
2828,inform,"im looking for a cheap restaurant in the west part of
"
2829,inform,"the south part of
"
2830,request,"what kind of food is there
"
2831,bye,"cut it thank you good bye
"
2832,inform,"id like a cantonese resturant in the south part of town
"
2833,inform,"south town
"
2834,inform,"i would like a cheap restaurant in the west part of town
"
2835,request,"can you give me its post code
"
2836,inform,"im looking for a moderate priced restaurant serving jamaican food
"
2837,inform,"im looking a cheap restaurant
"
2838,inform,"korea
"
2839,request,"can you give me the address please
"
2840,request,"and post code
"
2841,request,"whats the address to that please
"
2842,inform,"find restaurant
"
2843,inform,"catalan food expensive
"
2844,inform,"i want a restaurant in the center part of town that serves traditional food
"
2845,inform,"id like to find a moderately priced restaurant in the west of town
"
2846,request,"what food is available
"
2847,request,"uh can i have the phone number please
"
2848,inform,"im looking for a restaurant in the south part of town that serves
"
2849,request,"whats the phone number for hotel dubai
"
2850,confirm,"uh is there a korean restaurant in the center of town
"
2851,hello,"hi i need a restaurant in any area
"
2852,null,"freakin
"
2853,inform,"i would like to find a cheap restaurant
"
2854,inform,"signaporian
"
2855,restart,"reset
"
2856,null,"uh i want to find
"
2857,inform,"i want gastropub
"
2858,negate,"no ah
"
2859,null,"and whats the postal code
"
2860,request,"okay whats the post code
"
2861,inform,"im looking for a restaurant that
"
2862,hello,"hi i want to serve a cheap restaurant that serves traditional food
"
2863,inform,"the south part
"
2864,inform,"cheap australian
"
2865,confirm,"does it serve kosher food
"
2866,inform,"a cheap restaurant serving mexican food
"
2867,affirm,"yes cheap
"
2868,inform,"can i find something in the south side
"
2869,inform,"i would like thai food
"
2870,inform,"any address
"
2871,reqalts,"how about moderately priced thai food
"
2872,reqalts,"what about a moderately priced restaurant in the south part of town
"
2873,inform,"restaurant in any area international food
"
2874,request,"uh whats the phone number and post code
"
2875,inform,"im looking for swedish food
"
2876,null,"kish
"
2877,inform,"looking for a cheap restaurant
"
2878,null,"im l
"
2879,null,"serve
"
2880,inform,"im looking for a cheap restaurant in the north part
"
2881,confirm,"do they have turkish food
"
2882,inform,"serving modern european type of food
"
2883,inform,"uh what about modern european
"
2884,reqalts,"how about chinese food
"
2885,null,"bad
"
2886,inform,"serving mediterranean food
"
2887,inform,"an expensive restaurant with seafood
"
2888,inform,"caribbean food
"
2889,reqalts,"how about asian oriental type of foo
"
2890,reqalts,"okay how about modern european food
"
2891,inform,"id like a restaurant in the center that serves danish food
"
2892,reqalts,"what about european food
"
2893,inform,"trying to find a cheap restaurant
"
2894,inform,"african food
"
2895,inform,"im looking for an expensive restaurant that serves sea food
"
2896,inform,"the centre
"
2897,inform,"doesnt matter i dont care
"
2898,inform,"moderate eur
"
2899,request,"okay phone number
"
2900,inform,"can i get swedish food
"
2901,inform,"uh any part of town
"
2902,inform,"i want a cheap restaurant in the north
"
2903,inform,"i need a place in the centre of town that serves mexican food
"
2904,inform,"vegetarian food please
"
2905,reqalts,"uh what about chinese food
"
2906,reqalts,"how about korean foo
"
2907,inform,"there korean food
"
2908,request,"what is their area
"
2909,inform,"that should be in the east part of town
"
2910,inform,"scandanavian
"
2911,request,"post code of the venue
"
2912,inform,"im looking for a moderately priced restaurant that serves austria asian food
"
2913,inform,"im looking for a restaurant in the south part of town serving
"
2914,inform,"id like a cheap restaurant that serves steakhouse
"
2915,request,"can i have an address
"
2916,request,"and whats their phone number
"
2917,request,"okay could i have the phone number and post code
"
2918,request,"address and food
"
2919,inform,"im looking for a restaurant that serves traditional food
"
2920,inform,"belgian
"
2921,request,"whats the phone number for that restaurant
"
2922,inform,"im looking for a restaurant in any area serving african food
"
2923,inform,"noise how bout thai
"
2924,inform,"tv_noise im looking for an expensive restaurant and it should serve tuscan food
"
2925,inform,"im looking for a moderate priced restaurant in the east part of town
"
2926,affirm,"yes and it needs to be moderately priced
"
2927,bye,"see you goodbye
"
2928,inform,"moderately
"
2929,negate,"no catalan food
"
2930,inform,"the turkiesh
"
2931,inform,"im looking for a chinese restaurant
"
2932,request,"oh whats the address
"
2933,inform,"moderately priced in east part of town
"
2934,inform,"can i get a cheap restaurant in the south part of town
"
2935,request,"what are the address
"
2936,inform,"cheap restaurant east part of town
"
2937,inform,"im looking for a moderately priced restaurant and it should be in the north of town
"
2938,inform,"vietnamese food in any price range
"
2939,inform,"i would like a cheap restaurant and it should
"
2940,inform,"i want to find a restaurant in the south part of town
"
2941,inform,"do you have an expensive restaurant
"
2942,request,"what is the price
"
2943,affirm,"yes moderately priced
"
2944,inform,"um it doesnt matter its for a cheap restaurant
"
2945,reqalts,"i dont care is there anything else
"
2946,null,"modern europene
"
2947,hello,"halo
"
2948,inform,"cheap restaurant serving malaysian food
"
2949,reqalts,"is the anything else
"
2950,inform,"for a restaurant in any area with international food
"
2951,inform,"i would like to find a moderately priced restaurant in the east part of
"
2952,inform,"i need a restaurant in the north
"
2953,request,"okay and can i get their phone number
"
2954,inform,"is there greek greek food in the moderately price range
"
2955,reqalts,"how about south part of town
"
2956,request,"i can have the address the phone number and the post code of the
"
2957,inform,"im looking for a restaurant in the south part of town
"
2958,inform,"i want a polynesian restaurant in the west part of town
"
2959,affirm,"yes an expensive restaurant serving african food
"
2960,inform,"catalen food
"
2961,reqalts,"what about north american food
"
2962,null,"and the
"
2963,request,"what is the address and type of food they serve
"
2964,reqalts,"how about cheap price range
"
2965,affirm,"yes korean food
"
2966,inform,"looking for something cheap on the east part of town
"
2967,inform,"moderately priced serving european food
"
2968,inform,"im looking for kosher food in the west side
"
2969,inform,"im looking for jamaican food in the south part of town
"
2970,request,"what is the phone number please
"
2971,request,"can i have the address of it
"
2972,request,"what type of venue
"
2973,inform,"looking for cuban food that is moderately priced
"
2974,request,"uh whats the address and phone number
"
2975,request,"can i have the address and phone number please
"
2976,inform,"id like a barbecue restaurant
"
2977,affirm,"uh yes
"
2978,request,"ah whats the address
"
2979,reqalts,"i believe you anything else
"
2980,inform,"a restaurant in the east part of town that serves caribbean food
"
2981,inform,"belgium
"
2982,hello,"hello darling im looking for a restaurant in the north part of town
"
2983,inform,"a restaurant in the north part of town
"
2984,request,"could you get me the phone number
"
2985,request,"can i get the address phone number and post code please
"
2986,null,"type of foo
"
2987,negate,"uh no thats it thank you and good bye
"
2988,request,"and what type of food does it serve
"
2989,request,"what is the address and price range
"
2990,inform,"im looking for a moderately priced restaurant that serves spanish food
"
2991,request,"unintelligible part of town
"
2992,null,"and whats the other one
"
2993,inform,"i want to find a restaurant in the centre that serves thai food
"
2994,request,"may i have the address and postcode
"
2995,reqalts,"what about vietnamese type of food
"
2996,hello,"hi im looking for a restaurant in the west part of town
"
2997,inform,"yea im looking for a really cheap restaurant in the east part of town
"
2998,inform,"do you have prezzo
"
2999,inform,"a moderately priced restaurant in the south part of town
"
3000,request,"excellent and what is the price range of that venue
"
3001,hello,"hi i am looking for a moderately priced restaurant in the east part of town
"
3002,null,"is
"
3003,inform,"cheap restaurant barbecue food
"
3004,request,"what is the phone number an post code
"
3005,inform,"id like a european food
"
3006,inform,"um west side
"
3007,inform,"could i find an expensive restaurant that serves european food please
"
3008,request,"whats phone number
"
3009,request,"serves what
"
3010,request,"can i please have their phone number
"
3011,request,"can i have their address and phone number please
"
3012,inform,"looking for hungarian food in the north side of town
"
3013,inform,"i want to find a expensive restaurant that serves mediterranean
"
3014,confirm,"does it serve thai food
"
3015,inform,"iam looking for a restaurant that serves bistro food
"
3016,bye,"yawning thank you and good bye
"
3017,confirm,"does it serve baskaye food
"
3018,hello,"hi im looking for a restaurant that serves vegetarian food
"
3019,negate,"no thai food
"
3020,request,"where is the phone number
"
3021,inform,"hindi food is okay
"
3022,inform,"french type of food
"
3023,request,"whats the name
"
3024,null,"alright
"
3025,inform,"moderately priced restaurant that serves creative food
"
3026,inform,"looking for a moderately priced restaurant in the east
"
3027,request,"could i have their phone number and address please
"
3028,inform,"that serves jamaican food
"
3029,negate,"no north part of town
"
3030,reqalts,"what about indian food
"
3031,inform,"im looking for a restaurant in the center that serves caribbean food
"
3032,inform,"id like a moderately priced restaurant in the east part of town
"
3033,inform,"im looking for a cheap restaurant serving kosher food
"
3034,inform,"im looking for a cheap restaurant that serves irish food
"
3035,inform,"i need a moderately priced restaurant that serves bask food
"
3036,inform,"a moderately priced restaurant that serves
"
3037,inform,"okay looking for a cheap restaurant serving caribbean food
"
3038,ack,"good
"
3039,inform,"um east part of town
"
3040,request,"phone number and pri
"
3041,request,"what is the address and postcode
"
3042,inform,"arotrian
"
3043,negate,"no air tran food
"
3044,request,"what type of food do they have
"
3045,ack,"have a good
"
3046,reqalts,"how about uh gastropub
"
3047,null,"tv_noise
"
3048,request,"can you give me the phone number
"
3049,inform,"im looking for an italian restaurant
"
3050,inform,"north part of town north part of town
"
3051,reqalts,"what about north american type of food
"
3052,inform,"in the south
"
3053,inform,"moderately priced afghan
"
3054,request,"thank you and whats the address
"
3055,ack,"okay can you give me another restaurant
"
3056,reqalts,"how about spanish types of food
"
3057,reqalts,"how bout asian
"
3058,inform,"south area
"
3059,inform,"im looking for a cheap restaurant in the south
"
3060,inform,"i want a restaurant in the north part of town that serves swiss food
"
3061,reqalts,"how about cantonese food
"
3062,request,"ok whats the phone number
"
3063,repeat,"please repeat
"
